BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:1E:A6:A9:2A:B0, 2018-02-04 13:07:49, 2018-02-04 13:08:49,8,54, WPA2 WPA, CCMP TKIP,PSK,-81,29,0,   0.  0.  0.  0,6, om sai, 
00:1E:A6:4E:43:D0, 2018-02-04 13:07:45, 2018-02-04 13:08:50,8,54, WPA2 WPA, CCMP TKIP,PSK,-73,74,527,   0.  0.  0.  0,11, iBall-Baton, 
C4:E9:84:9A:E7:C6, 2018-02-04 13:07:45, 2018-02-04 13:08:48,7,54, WPA2, CCMP,PSK,-49,94,19,   0.  0.  0.  0,7, Crackit, 
00:1E:A6:93:6F:60, 2018-02-04 13:08:50, 2018-02-04 13:08:50,4,-1, WPA, ,   ,-88,0,2,   0.  0.  0.  0,0, , 
00:1E:A6:15:F6:9E, 2018-02-04 13:13:28, 2018-02-04 13:22:52,6,54, WPA2 WPA, CCMP,PSK,-90,12,0,   0.  0.  0.  0,11, iBall-Baton, 
00:1E:A6:67:C4:E9, 2018-02-04 13:12:50, 2018-02-04 13:21:24,9,54, OPN, ,   ,-87,25,1,   0.  0.  0.  0,9, KALYANKAR, 
00:1E:A6:4F:AA:28, 2018-02-04 13:13:07, 2018-02-04 13:20:50,7,54, WPA2 WPA, CCMP TKIP,PSK,-90,5,0,   0.  0.  0.  0,11, iBall-Baton, 
00:1E:A6:05:2F:9E, 2018-02-04 13:16:37, 2018-02-04 13:19:52,3,-1, OPN, ,   ,-1,0,7,   0.  0.  0.  0,0, , 
00:1E:A6:7B:22:B8, 2018-02-04 13:12:44, 2018-02-04 13:19:28,13,54, WPA, CCMP,PSK,-90,3,2,   0.  0.  0.  0,6, Tushar, 
00:1E:A6:A6:32:50, 2018-02-04 13:13:31, 2018-02-04 13:22:50,4,54, WPA, CCMP,PSK,-89,6,1,   0.  0.  0.  0,8, Darryl01, 
AC:C1:EE:A5:CD:57, 2018-02-04 13:14:18, 2018-02-04 13:18:15,6,54, OPN, ,   ,-90,3,0,   0.  0.  0.  0,5, Redmi, 
00:1E:A6:93:6F:60, 2018-02-04 13:12:55, 2018-02-04 13:18:00,4,54, WPA, CCMP,PSK,-91,21,0,   0.  0.  0.  0,5, Virus, 
E4:6F:13:C3:C0:25, 2018-02-04 13:13:11, 2018-02-04 13:13:11,1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , 
C8:3A:35:46:AB:F0, 2018-02-04 13:12:49, 2018-02-04 13:13:16,2,54, WPA, CCMP,PSK,-90,7,0,   0.  0.  0.  0,12, Tenda_46ABF0, 
00:1E:A6:B0:7F:F8, 2018-02-04 13:12:43, 2018-02-04 13:12:43,1,54, WPA2, CCMP TKIP,PSK,-89,1,0,   0.  0.  0.  0,13, vedashree_EXT, 
02:1E:A6:B0:7F:F8, 2018-02-04 13:12:43, 2018-02-04 13:12:43,1,54, WPA2, CCMP,PSK,-88,1,0,   0.  0.  0.  0,14," "" iBall-Baton_1""", 
